Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
JBPM-7464,2.0,3.5308281864652,1,1
JBPM-7450,3.0,2.9,1,4
JBPM-7448,3.0,3.6234237046421,1,2
JBPM-7447,3.0,3.6234237046421,1,1
JBPM-7446,3.0,3.5308281864652,1,1
JBPM-7445,3.0,3.6234237046421,1,0
JBPM-7436,5.0,4.8,1,2
JBPM-7409,2.0,4.827770354439116,1,1
JBPM-7306,3.0,2.15,1,4
JBPM-7294,2.0,3.6,1,1
JBPM-7282,2.0,1.4416666666666669,1,3
JBPM-7268,3.0,3.5308281864652,1,1
JBPM-7239,2.0,2.05,1,0
JBPM-7233,3.0,3.5308281864652,1,3
JBPM-7058,3.0,3.5308281864652,1,0
JBPM-7027,8.0,3.6234237046421,1,3
JBPM-7023,5.0,4.429015153005563,1,2
JBPM-7022,3.0,3.6234237046421,1,3
JBPM-6920,8.0,2.7777777777777777,1,5
JBPM-6883,5.0,3.6234237046421,1,2
JBPM-6843,5.0,3.6234237046421,1,1
JBPM-6795,1.0,3.6234237046421,1,3
JBPM-6790,5.0,2.288976521164021,1,0
JBPM-6611,3.0,3.6234237046421,1,3
JBPM-6454,5.0,3.6234237046421,1,22
JBPM-6453,5.0,3.85,1,5
JBPM-6312,5.0,3.6234237046421,1,1
JBPM-6109,8.0,3.6234237046421,1,6
JBPM-6077,3.0,4.827770354439116,1,2
JBIDE-27058,5.0,3.175,1,5
JBIDE-27052,5.0,3.2525,1,2
JBIDE-26986,5.0,4.25,1,1
JBIDE-26985,10.0,3.6234237046421,1,1
JBIDE-26334,8.0,6.151759834368529,1,2
JBIDE-26319,5.0,4.827770354439116,1,1
JBIDE-26317,5.0,4.827770354439116,1,0
JBIDE-26138,13.0,4.827770354439116,1,1
JBIDE-25916,10.0,11.0,1,8
JBIDE-25803,15.0,4.827770354439116,1,1
JBIDE-25705,5.0,2.843035714285714,1,1
JBIDE-25616,15.0,19.95,1,14
JBIDE-25300,4.0,3.4,1,4
JBIDE-25216,8.0,4.827770354439116,1,1
JBIDE-25215,5.0,4.827770354439116,1,3
JBIDE-25207,8.0,4.827770354439116,1,2
JBIDE-25206,8.0,4.827770354439116,1,2
JBIDE-25205,8.0,4.827770354439116,1,2
JBIDE-25201,8.0,4.827770354439116,1,3
JBIDE-25199,8.0,4.827770354439116,1,1
JBIDE-25169,20.0,3.748199507222687,1,2
JBIDE-25000,13.0,15.45,1,19
JBIDE-23862,2.0,2.7009615384615384,1,48
JBIDE-23814,8.0,7.3,1,12
JBIDE-23623,5.0,4.1,1,12
JBIDE-23489,15.0,2.9850000000000003,1,15
JBIDE-23422,10.0,4.1,1,37
JBIDE-22889,21.0,14.55,1,8
JBIDE-22773,20.0,11.075,1,28
JBIDE-22677,10.0,5.157500000000001,1,8
JBIDE-22367,21.0,17.3,1,8
JBIDE-22362,10.0,6.9,1,38
JBIDE-22300,4.0,4.054892884892885,1,2
JBIDE-22200,21.0,16.2,1,6
JBIDE-22195,4.0,3.2625,1,9
JBIDE-22193,18.0,11.65,1,14
JBIDE-22177,2.0,3.6234237046421,1,11
JBIDE-21857,5.0,3.85,1,62
JBIDE-21642,3.0,2.85,1,3
JBIDE-20850,2.0,2.05,1,3
JBIDE-17696,34.0,25.35,1,11
JBEAP-18668,5.0,3.8,1,2
JBDS-4631,10.0,3.6234237046421,1,3
JBDS-4396,1.0,3.6234237046421,1,0
JBDS-4334,3.0,3.6234237046421,1,0
